P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23,P4_categorias,ideologia_agrupada
2003,No,Sí,,25-27,2,"Familiares, Sociedad en general",,8,6.0,10.0,No,No,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,6,7,6,6,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),3,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,Antes de los 30 años,Izquierda
1972,Sí,,32.0,,1,Sociedad en general,"Soledad, Preocupación",2,9.0,9.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Estudios, Falta de estabilidad económica",7,4,6,7,7,7,7,Debería ser más para la mujer y menos para el hombre,9,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,,Centro
1998,No,Sí,,Antes de los 30,3,De mí misma,,7,3.0,2.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,5,6,6,7,5,"No, debería ser más",3,No,De acuerdo,Católica no practicante,8,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Formación profesional de grado superior,Entre 30 y 35 años,Derecha
1994,No,Sí,,N.S.,8,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,0.0,4.0,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,5,5,5,5,5,5,"No, debería ser más",10,No,Ni acuerdo ni desacuerdo,Creyente de otra religión,0,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1977,Sí,,33.0,,10,Familiares,"Miedo, Preocupación,",1,1.0,2.0,No,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,40 o más años,Falta de estabilidad económica,7,7,7,7,7,5,7,"No, debería ser más",5,No,Totalmente de acuerdo,Católica no practicante,10,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior,,Derecha
1964,Sí,,30.0,,0,De nadie en particular,Preocupación,0,1.0,4.0,No,Sí,En desacuerdo,Totalmente en desacuerdo,N.S.,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",7,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios primarios o equivalentes,,Izquierda
2000,No,N.S.,,Antes de los 30-35 años,4,"Pareja, Sociedad en general",,2,1.0,1.0,No,N.C.,Ni acuerdo ni desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",5,5,5,4,5,5,4,"No, debería ser más",4,No,De acuerdo,Creyente de otra religión,3,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
2003,No,Sí,,30,2,Sociedad en general,,1,1.0,1.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",7,5,7,6,6,7,7,"No, debería ser más",5,No,Totalmente de acuerdo,No creyente,1,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado medio,Entre 30 y 35 años,Izquierda
1963,Sí,,18.0,,6,De nadie en particular,Miedo,5,5.0,10.0,Sí,No,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,Sí,Totalmente de acuerdo,No creyente,0,Técnicos y profesionales de apoyo,De 1.801 a 2.700,Formación profesional de grado medio,,Izquierda
1995,No,Sí,,30 - 32,4,Amistades,,5,5.0,5.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,5,5,7,7,"No, debería ser más",7,No,De acuerdo,No creyente,3,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1997,No,Sí,,30,1,De nadie en particular,N.C.,8,6.0,4.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,4,5,6,7,7,Sí,9,No,De acuerdo,Católica practicante,7,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,Entre 30 y 35 años,Derecha
1999,No,Sí,,28,0,N.C.,N.C.,0,1.0,2.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),3,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,Antes de los 30 años,Izquierda
2002,No,Sí,,28,0,De nadie en particular,N.C.,8,8.0,7.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,40 o más años,Falta de estabilidad económica,7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,6,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Antes de los 30 años,Centro
2000,No,No,,,6,Familiares,,7,5.0,10.0,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,6,7,4,6,4,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,,Izquierda
1983,Sí,,29.0,,7,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,5.0,8.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, No tener pareja, Incertidumbre acerca del futuro",7,7,7,6,5,6,7,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,6,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes,,Centro
1983,Sí,,37.0,,7,"Sociedad en general, De nadie en particular","Ansiedad, Culpa, Preocupación",4,2.0,4.0,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,30-34 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",3,5,6,7,6,4,6,"No, debería ser más",10,No,De acuerdo,No creyente,2,Técnicos y profesionales científicos e intelectuales,N.C.,Estudios universitarios o equivalentes,,Izquierda
1992,Sí,,27.0,,0,De nadie en particular,"Ansiedad, Miedo, Preocupación",0,5.0,4.0,Sí,Sí,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica practicante,9,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Formación profesional de grado medio,,Derecha
1999,No,N.S.,,,7,Familiares,,5,6.0,,N.S.,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,6,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,8,No,Totalmente de acuerdo,Católica no practicante,8,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Derecha
1987,No,No,,,2,Amistades,,7,3.0,0.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,N.C.,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica",7,5,5,5,5,5,6,N.C.,10,No,De acuerdo,Católica no practicante,0,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
1968,Sí,Sí,40.0,30,0,De nadie en particular,"Ansiedad, Miedo",0,1.0,0.0,Sí,Sí,De acuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",1,7,3,3,4,3,1,"No, debería ser más",5,No,Totalmente de acuerdo,Católica no practicante,5,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios primarios o equivalentes,Entre 30 y 35 años,Centro
2002,No,Sí,,35,5,Sociedad en general,,10,0.0,0.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,N.S.,10,No,De acuerdo,No creyente,0,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1987,No,Sí,,,0,De nadie en particular,Ninguna,5,5.0,5.0,N.C.,N.C.,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,N.C.,N.C.,7,7,5,5,7,5,7,N.C.,5,N.C.,Ni acuerdo ni desacuerdo,Católica no practicante,5,N.C.,N.C.,N.C.,,Centro
1968,Sí,,22.0,,0,De nadie en particular,Preocupación,1,1.0,1.0,No,No,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",4,4,4,2,7,4,4,"No, debería ser más",10,No,De acuerdo,Católica no practicante,3,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado medio,,Izquierda
1996,Sí,,24.0,,1,De nadie en particular,Miedo,7,5.0,6.0,Sí,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,30-34 años,"Precariedad laboral, Difícil emancipación",7,7,7,7,5,6,7,"No, debería ser más",9,No,De acuerdo,No creyente,2,,Menos de 1.100,Estudios universitarios o equivalentes,,Izquierda
1967,Sí,Sí,27.0,,0,De nadie en particular,Ansiedad,0,0.0,2.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,Falta de estabilidad económica,7,7,7,7,7,7,7,"No, debería ser más",0,No,Totalmente de acuerdo,Católica no practicante,5,Trabajadores no cualificados,Menos de 1.100,Educación secundaria obligatoria,,Centro
1987,Sí,,36.0,,2,Familiares,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",3,3.0,1.0,No,No,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,35-39 años,"Precariedad laboral, Estudios, Falta de estabilidad económica",6,6,5,6,6,5,6,"No, debería ser más",8,No,De acuerdo,Católica no practicante,4,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Centro
1956,Sí,,24.0,,0,De nadie en particular,Ninguna,7,6.0,8.0,No,Sí,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica",7,7,6,6,7,6,7,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,3,Pensionista,De 1.801 a 2.700,Estudios primarios o equivalentes,,Izquierda
1974,Sí,,24.0,,0,De nadie en particular,"Miedo, Preocupación",1,1.0,1.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,0,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
1996,Sí,,24.0,,2,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",3,3.0,5.0,No,No,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,30-34 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser menos",9,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Trabajadores no cualificados,Menos de 1.100,Educación secundaria obligatoria,,Izquierda
1976,Sí,,31.0,,5,Sociedad en general,Ansiedad,1,8.0,8.0,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,Empleados de tipo administrativo,De 1.100 a 1.800,Formación profesional de grado superior,,Izquierda
1961,Sí,,21.0,,0,De nadie en particular,Preocupación,0,5.0,2.0,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,5,5,5,5,5,5,"No, debería ser más",8,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,Técnicos y profesionales de apoyo,Menos de 1.100,Bachillerato,,Izquierda
1994,Sí,,30.0,,6,Familiares,"Ansiedad, Miedo, Culpa, Preocupación",8,4.0,4.0,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,5,5,7,"No, debería ser más",7,No,De acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
1957,Sí,,27.0,,0,De nadie en particular,"Ansiedad, Preocupación",6,7.0,8.0,No,Sí,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,5,6,7,7,7,7,"No, debería ser más",10,No,De acuerdo,No creyente,2,N.C.,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1985,Sí,,34.0,,2,N.S.,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",8,5.0,2.0,No,No,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,7,6,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior,,Izquierda
1958,Sí,,20.0,,0,De nadie en particular,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",2,1.0,1.0,No,Sí,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,6,6,6,5,7,Debería ser más para la mujer y menos para el hombre,8,No,De acuerdo,Católica no practicante,5,N.C.,Menos de 1.100,Estudios primarios o equivalentes,,Centro
1990,Sí,,21.0,,3,De nadie en particular,Preocupación,6,6.0,6.0,Sí,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,Sí,Totalmente de acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios primarios o equivalentes,,Centro
1985,Sí,,34.0,,2,Sociedad en general,"Miedo, Culpa, Soledad, Preocupación",3,1.0,2.0,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Estudios, No tener pareja",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),0,Técnicos y profesionales científicos e intelectuales,De 3.901 a 5.000,Estudios universitarios o equivalentes,,Izquierda
1989,Sí,,34.0,,6,Amistades,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",2,1.0,1.0,No,No,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,8,No,Totalmente de acuerdo,No creyente,7,Técnicos y profesionales científicos e intelectuales,De 2.701 a 3.900,Estudios universitarios o equivalentes,,Derecha
1964,Sí,,28.0,,0,Familiares,"Ansiedad, Miedo",1,1.0,2.0,Sí,Sí,De acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,5,6,5,5,6,Debería ser más para la mujer y menos para el hombre,8,No,De acuerdo,Católica no practicante,1,Trabajadores no cualificados,Menos de 1.100,Educación secundaria obligatoria,,Izquierda
1966,Sí,,20.0,,0,De nadie en particular,"Miedo, Preocupación",1,1.0,1.0,N.S.,N.S.,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,De acuerdo,N.S.,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",7,7,7,7,7,7,7,N.S.,10,N.S.,Totalmente de acuerdo,Católica no practicante,7,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado medio,,Derecha
1960,Sí,,31.0,,0,De nadie en particular,Preocupación,0,2.0,2.0,Sí,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,Católica practicante,4,Pensionista,De 1.100 a 1.800,Estudios primarios o equivalentes,,Centro
1975,Sí,,29.0,,0,De nadie en particular,Preocupación,7,5.0,5.0,N.S.,N.S.,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,7,6,6,6,5,6,"No, debería ser más",8,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),7,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Derecha
1968,Sí,,23.0,,0,De nadie en particular,Preocupación,4,1.0,0.0,No,No,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,6,6,6,Sí,7,No,Ni acuerdo ni desacuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),7,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,,Derecha
1962,Sí,,17.0,,0,De nadie en particular,"Ansiedad, Preocupación",2,2.0,2.0,No,Sí,De acuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,7,5,6,6,5,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,5,N.S.,Menos de 1.100,Formación profesional de grado medio,,Centro
1970,Sí,,32.0,,0,De nadie en particular,"Ansiedad, Miedo, Preocupación",0,10.0,0.0,N.S.,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,3,Trabajo doméstico no remunerado,N.S.,Estudios primarios o equivalentes,,Izquierda
1988,Sí,,27.0,,6,Pareja,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",5,5.0,3.0,N.S.,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",5,No,Ni acuerdo ni desacuerdo,N.S.,4,Trabajo doméstico no remunerado,No tiene ingresos de ningún tipo,Formación profesional de grado medio,,Centro
1975,Sí,,26.0,,10,De mí misma,"Ansiedad, Miedo, Preocupación",2,0.0,0.0,Sí,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,10,No,De acuerdo,Católica no practicante,5,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado superior,,Centro
1974,Sí,,27.0,,0,N.C.,Preocupación,0,2.0,2.0,Sí,Sí,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja",6,6,6,6,6,6,7,Debería ser más para la mujer y menos para el hombre,2,No,Totalmente de acuerdo,Creyente de otra religión,4,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Centro
1997,No,Sí,,En tener estabilidad económica,0,Sociedad en general,,10,0.0,10.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato,Al tener estabilidad,Izquierda
2005,No,Sí,,28,0,De nadie en particular,,1,2.0,2.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica",5,6,4,4,6,5,6,"No, debería ser más",8,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),5,Estudiante,Menos de 1.100,Bachillerato,Antes de los 30 años,Centro
2005,No,Sí,,28-30,0,De nadie en particular,,6,8.0,6.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica",7,5,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,No creyente,6,Estudiante,De 1.100 a 1.800,Estudios universitarios o equivalentes,Antes de los 30 años,Centro
